species;family;male;female;tot_adult;subadult_male;subadult_female;tot_subadult;juvenil;individuals_immatur;tot_individuals;month;year;date;trapnum;succession;ycoor;xcoor;latitude;longitude;height;tot_plants;mean_t;mean_k;mean_l;mean_f;mean_r;mean_n;mean_w;mean_h;mean_d
NA;Lycosidae;0;0;0;0;1;1;0;1;1;Dez;2018;01.-31.12.2018;Sel12;S1;2603570;1197068;46.92469;7.4855;508;10;3,4;2,9;3,3;4;3,7;3,7;2,6;2,6;1,6
Centromerussylvaticus;Linyphiidae;2;0;2;0;0;0;0;0;2;Dez;2018;01.-31.12.2018;Sel13;S1;2603428;1197127;46.92523;7.48364;508;14;3,7;2,9;3,1;3,5;3,6;3,4;2,6;3;1,6
NA;Lycosidae;0;0;0;0;1;1;0;1;1;Dez;2018;01.-31.12.2018;Sel13;S1;2603428;1197127;46.92523;7.48364;508;14;3,7;2,9;3,1;3,5;3,6;3,4;2,6;3;1,6
Centromerussylvaticus;Linyphiidae;2;0;2;0;0;0;0;0;2;Dez;2018;01.-31.12.2018;Sel14;S1;2603339;1197130;46.92525;7.48247;508;10;3,6;3;3,2;3,9;3,6;3,3;2,6;3;1,4
NA;Lycosidae;0;0;0;0;1;1;0;1;1;Dez;2018;01.-31.12.2018;Sel15;S3;2603258;1197102;46.925;7.4814;508;16;3,5;2,8;3;3,3;3,4;3,3;2,2;2,6;2
Oedothoraxretusus;Linyphiidae;2;2;4;0;0;0;0;0;4;Dez;2018;01.-31.12.2018;Sel16;S2;2603140;1197035;46.9244;7.47985;507;17;3,5;3;2,9;3,5;3,4;3,5;2,2;3,4;1,9
NA;Lycosidae;0;0;0;0;1;1;0;1;1;Dez;2018;01.-31.12.2018;Sel16;S2;2603140;1197035;46.9244;7.47985;507;17;3,5;3;2,9;3,5;3,4;3,5;2,2;3,4;1,9
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Dez;2018;01.-31.12.2018;Sel17;S2;2 603 120;1197016;46.92423;7.47959;508;11;3,4;2,9;2,9;3,4;3,2;3,3;2,2;3,5;2,1
Centromerussylvaticus;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel18;S2;2603094;1196987;46.92397;7.47925;507;15;3,5;3;2,9;3,4;3,4;3,3;2,1;3,1;2
Centromerussylvaticus;Linyphiidae;0;2;2;0;0;0;0;0;2;Dez;2018;01.-31.12.2018;Sel19;S2;2603083;1196981;46.92391;7.47911;507;17;3,4;2,9;2,6;3,5;3,2;3,5;2,2;3,6;1,9
Oedothoraxretusus;Linyphiidae;0;1;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel19;S2;2603083;1196981;46.92391;7.47911;507;17;3,4;2,9;2,6;3,5;3,2;3,5;2,2;3,6;1,9
NA;Linyphiidae;0;0;0;0;0;0;2;2;2;Dez;2018;01.-31.12.2018;Sel19;S2;2603083;1196981;46.92391;7.47911;507;17;3,4;2,9;2,6;3,5;3,2;3,5;2,2;3,6;1,9
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Dez;2018;01.-31.12.2018;Sel20;S2;2603024;1196928;46.92344;7.47833;507;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Centromerussylvaticus;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel21;S2;2603004;1196907;46.92325;7.47807;507;15;3,5;3;3;3,7;3,4;3,5;2,5;3,7;1,6
NA;NA;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel21;S2;2603004;1196907;46.92325;7.47807;507;15;3,5;3;3;3,7;3,4;3,5;2,5;3,7;1,6
Bathyphantesgracilis;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel22;S2;2602983;1196899;46.92318;7.47779;507;13;3,5;2,9;3,1;3,6;3,6;3,5;2,7;3,2;1,6
Dicymbiumnigrum;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel23;S2;2602966;1196876;46.92297;7.47757;507;10;3,6;3;3,2;3,8;3,8;3,8;2,6;3,2;1,6
NA;Lycosidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel24;S2;2602943;1196880;46.92301;7.47727;507;11;3,6;3;3,1;3,9;3,6;3,5;2,9;3,2;1,2
NA;Linyphiidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel24;S2;2602943;1196880;46.92301;7.47727;507;11;3,6;3;3,1;3,9;3,6;3,5;2,9;3,2;1,2
NA;Linyphiidae;0;0;0;1;0;1;0;1;1;Dez;2018;01.-31.12.2018;Sel25;S1;2602887;1196864;46.92286;7.47653;507;11;3,7;3;3,4;4,1;3,7;3,7;2,9;3,2;1
Oedothoraxretusus;Linyphiidae;1;5;6;0;0;0;0;0;6;Dez;2018;01.-31.12.2018;Sel26;S1;2602935;1196897;46.92316;7.47716;507;12;3,5;2,8;3;3,9;3,2;3,3;2,6;3,2;1,2
Centromeritabicolor;Linyphiidae;0;1;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel26;S1;2602935;1196897;46.92316;7.47716;507;12;3,5;2,8;3;3,9;3,2;3,3;2,6;3,2;1,2
NA;Linyphiidae;0;0;0;2;0;2;3;5;5;Dez;2018;01.-31.12.2018;Sel26;S1;2602935;1196897;46.92316;7.47716;507;12;3,5;2,8;3;3,9;3,2;3,3;2,6;3,2;1,2
Walckenaeriaacuminata;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel27;S1;2603368;1197131;46.92526;7.48285;509;15;3,6;2,9;3,3;3,6;3,7;3,5;2,5;2,7;1,7
Cicurinacicur;Hahniidae;4;2;6;0;0;0;0;0;6;Dez;2018;01.-31.12.2018;Sel27;S1;2603368;1197131;46.92526;7.48285;509;15;3,6;2,9;3,3;3,6;3,7;3,5;2,5;2,7;1,7
NA;Theridiidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel27;S1;2603368;1197131;46.92526;7.48285;509;15;3,6;2,9;3,3;3,6;3,7;3,5;2,5;2,7;1,7
NA;Thomisidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel27;S1;2603368;1197131;46.92526;7.48285;509;15;3,6;2,9;3,3;3,6;3,7;3,5;2,5;2,7;1,7
NA;Lycosidae;0;0;0;0;1;1;0;1;1;Dez;2018;01.-31.12.2018;Sel28;S1;2603430;1197099;46.92497;7.48366;508;13;3,4;2,9;2,8;3,3;3,5;3,2;2;3,7;2,1
Centromerussylvaticus;Linyphiidae;5;1;6;0;0;0;0;0;6;Dez;2018;01.-31.12.2018;Sel29;S3;2603356;1197051;46.92454;7.48269;509;15;3,6;2,8;2,9;3,4;3,5;3,2;2,2;3,4;1,8
Cicurinacicur;Hahniidae;3;0;3;0;0;0;0;0;3;Dez;2018;01.-31.12.2018;Sel29;S3;2603356;1197051;46.92454;7.48269;509;15;3,6;2,8;2,9;3,4;3,5;3,2;2,2;3,4;1,8
Walckenaeriaobtusa;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel29;S3;2603356;1197051;46.92454;7.48269;509;15;3,6;2,8;2,9;3,4;3,5;3,2;2,2;3,4;1,8
NA;Linyphiidae;0;0;0;0;0;0;2;2;2;Dez;2018;01.-31.12.2018;Sel29;S3;2603356;1197051;46.92454;7.48269;509;15;3,6;2,8;2,9;3,4;3,5;3,2;2,2;3,4;1,8
NA;Lycosidae;0;0;0;0;2;2;0;2;2;Dez;2018;01.-31.12.2018;Sel29;S3;2603356;1197051;46.92454;7.48269;509;15;3,6;2,8;2,9;3,4;3,5;3,2;2,2;3,4;1,8
NA;Lycosidae;0;0;0;1;0;1;0;1;1;Dez;2018;01.-31.12.2018;Sel30;S3;2603297;1196955;46.92368;7.48192;508;15;3,6;2,9;2,9;3,5;3,6;3,2;2,2;3,8;1,8
NA;Lycosidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel31;S2;2602930;1196842;46.92266;7.4771;506;9;3,5;2,9;3;3,3;3,7;3,4;2,9;3,4;1,4
Cicurinacicur;Hahniidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel32;S2;2602683;1196862;46.92285;7.47385;508;21;3,6;2,9;2,9;3,3;3,6;3,2;2,2;2,8;1,8
Cicurinacicur;Hahniidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel33;S2;2602733;1196847;46.92271;7.47451;508;20;3,5;3;3;3,5;3,5;3,3;2,3;3,3;1,7
Centromerussylvaticus;Linyphiidae;0;1;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel33;S2;2602733;1196847;46.92271;7.47451;508;20;3,5;3;3;3,5;3,5;3,3;2,3;3,3;1,7
NA;Lycosidae;0;0;0;1;0;1;0;1;1;Dez;2018;01.-31.12.2018;Sel33;S2;2602733;1196847;46.92271;7.47451;508;20;3,5;3;3;3,5;3,5;3,3;2,3;3,3;1,7
NA;Lycosidae;0;0;0;0;1;1;0;1;1;Dez;2018;01.-31.12.2018;Sel34;S1;2602792;1196833;46.92258;7.47528;507;17;3,5;2,9;3,4;3,7;3,6;3,4;2,6;2,8;1,4
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Dez;2018;01.-31.12.2018;Sel35;S1;2602835;1196849;46.92273;7.47585;508;24;3,5;2,9;3;3,4;3,5;3,4;2,1;2,9;1,8
Bathyphantesgracilis;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel36;S3;2603242;1196874;46.92295;7.48119;507;10;3,8;2,9;3;3,6;3,5;3,2;2,9;3,6;1,4
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Dez;2018;01.-31.12.2018;Sel37;S3;2602920;1196850;46.92274;7.47697;507;9;3,6;2,9;3,1;3,6;3,6;3,4;3;3,2;1
Oedothoraxretusus;Linyphiidae;1;1;2;0;0;0;0;0;2;Dez;2018;01.-31.12.2018;Sel38;S1;2602974;1196926;46.92342;7.47767;507;16;3,5;2,9;3,2;3,2;3,5;3,6;2,6;3,1;1,6
Pachygnathaclercki;Tetragnathidae;0;1;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel38;S1;2602974;1196926;46.92342;7.47767;507;16;3,5;2,9;3,2;3,2;3,5;3,6;2,6;3,1;1,6
Centromeritabicolor;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel38;S1;2602974;1196926;46.92342;7.47767;507;16;3,5;2,9;3,2;3,2;3,5;3,6;2,6;3,1;1,6
NA;Linyphiidae;0;0;0;0;0;0;4;4;4;Dez;2018;01.-31.12.2018;Sel38;S1;2602974;1196926;46.92342;7.47767;507;16;3,5;2,9;3,2;3,2;3,5;3,6;2,6;3,1;1,6
Centromerussylvaticus;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel39;S1;2603004;1196943;46.92357;7.47807;507;17;3,7;3,1;3,5;2,9;3,5;3,3;1,8;2,8;2,3
Oedothoraxretusus;Linyphiidae;0;1;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel39;S1;2603004;1196943;46.92357;7.47807;507;17;3,7;3,1;3,5;2,9;3,5;3,3;1,8;2,8;2,3
NA;Lycosidae;0;0;0;3;1;4;0;4;4;Dez;2018;01.-31.12.2018;Sel39;S1;2603004;1196943;46.92357;7.47807;507;17;3,7;3,1;3,5;2,9;3,5;3,3;1,8;2,8;2,3
Centromerussylvaticus;Linyphiidae;2;0;2;0;0;0;0;0;2;Dez;2018;01.-31.12.2018;Sel40;S3;2603167;1197047;46.92451;7.48021;507;15;3,5;2,7;3;3,8;3,5;3,5;2,8;3,4;1,3
Centromerussylvaticus;Linyphiidae;0;1;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel41;S2;2603243;1197086;46.92486;7.48121;508;16;3,5;2,9;2,8;3,3;3,3;3,3;2;3,3;2,3
NA;Lycosidae;0;0;0;2;0;2;0;2;2;Dez;2018;01.-31.12.2018;Sel41;S2;2603243;1197086;46.92486;7.48121;508;16;3,5;2,9;2,8;3,3;3,3;3,3;2;3,3;2,3
Centromerussylvaticus;Linyphiidae;2;3;5;0;0;0;0;0;5;Dez;2018;01.-31.12.2018;Sel42;S3;2603273;1197083;46.92483;7.4816;507;9;3,5;3;2,9;3,4;3,1;3,4;2,4;3,4;1,8
Cicurinacicur;Hahniidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel42;S3;2603273;1197083;46.92483;7.4816;507;9;3,5;3;2,9;3,4;3,1;3,4;2,4;3,4;1,8
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Dez;2018;01.-31.12.2018;Sel43;S3;2603139;1196978;46.92389;7.47984;507;14;3,6;2,9;3;3,6;3,5;3,2;2,9;3,6;1,4
Mermessustrilobatus;Linyphiidae;1;0;1;0;0;0;0;0;1;Dez;2018;01.-31.12.2018;Sel44;S2;2603060;1196953;46.92366;7.4788;507;9;3,7;2,9;2,8;3,7;3,2;3,7;2,6;3,9;2
NA;Tetragnathidae;0;0;0;0;0;0;1;1;1;Dez;2018;01.-31.12.2018;Sel45;S3;2603005;1196839;46.92264;7.47808;507;14;3,6;3,1;3,1;3,7;3,4;3,4;2,9;3,4;1,1
Centromerussylvaticus;Linyphiidae;0;1;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Inermocoelotesinermis;Agelenidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel01;S3;2603159;1197069;46.92471;7.4801;509;10;3,6;2,6;2,4;3,1;3,2;2,9;1,7;3,4;2,6
Centromerussylvaticus;Linyphiidae;1;2;3;0;0;0;0;0;3;Jan-Feb;2019;01.01.-28.02.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Diplocephaluscristatus;Linyphiidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Diplocephaluslatifrons;Linyphiidae;0;1;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Inermocoelotesinermis;Agelenidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
NA;Clubionidae;0;0;0;0;0;0;2;2;2;Jan-Feb;2019;01.01.-28.02.2019;Sel02;S3;2603180;1197093;46.92492;7.48038;509;11;3,6;2,8;2,8;3,2;3,6;3,1;2,1;2,8;2,1
Centromerussylvaticus;Linyphiidae;1;3;4;0;0;0;0;0;4;Jan-Feb;2019;01.01.-28.02.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Robertusneglectus;Theridiidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Agroecabrunnea;Liocranidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Cicurinacicur;Hahniidae;0;1;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
NA;Lycosidae;0;0;0;0;3;3;0;3;3;Jan-Feb;2019;01.01.-28.02.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
NA;Clubionidae;0;0;0;1;0;1;1;2;2;Jan-Feb;2019;01.01.-28.02.2019;Sel03;S3;2603203;1197099;46.92498;7.48068;509;9;3,6;2,8;2,4;3,1;3,7;3,1;1,9;3;2,3
Centromerussylvaticus;Linyphiidae;1;2;3;0;0;0;0;0;3;Jan-Feb;2019;01.01.-28.02.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Diplocephaluscristatus;Linyphiidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
NA;Lycosidae;0;0;0;1;1;2;1;3;3;Jan-Feb;2019;01.01.-28.02.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Agroecabrunnea;Liocranidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel04;S2;2603207;1197084;46.92484;7.48073;508;18;3,4;3;3,1;3,3;3,4;3,2;2,1;3,3;1,8
Walckenaeriaacuminata;Linyphiidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
NA;Hahniidae;0;0;0;0;0;0;1;1;1;Jan-Feb;2019;01.01.-28.02.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Trochosaterricola;Lycosidae;0;2;2;0;0;0;0;0;2;Jan-Feb;2019;01.01.-28.02.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
NA;Lycosidae;0;0;0;4;7;11;0;11;11;Jan-Feb;2019;01.01.-28.02.2019;Sel05;S3;2603314;1197139;46.92533;7.48214;509;12;3,5;2,9;2,7;3,2;3,6;3,3;1,8;3;2,2
Centromerusserratus;Linyphiidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Centromerussylvaticus;Linyphiidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Clubionidae;0;0;0;0;0;0;1;1;1;Jan-Feb;2019;01.01.-28.02.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
NA;Dictynidae;0;0;0;0;0;0;1;1;1;Jan-Feb;2019;01.01.-28.02.2019;Sel06;S3;2603356;1197148;46.92542;7.48269;508;9;3,4;2,6;2,3;3,1;3,3;3,1;1,8;3,4;2,3
Centromerussylvaticus;Linyphiidae;2;2;4;0;0;0;0;0;4;Jan-Feb;2019;01.01.-28.02.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
NA;Linyphiidae;0;0;0;0;0;0;3;3;3;Jan-Feb;2019;01.01.-28.02.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
NA;Lycosidae;0;0;0;2;1;3;0;3;3;Jan-Feb;2019;01.01.-28.02.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Tenuiphantesflavipes;Linyphiidae;0;1;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel07;S3;2603401;1197141;46.92535;7.48328;509;12;3,3;2,9;2,5;3;3,6;3;1,6;3,2;2,5
Trochosaterricola;Lycosidae;1;0;1;0;0;0;0;0;1;Jan-Feb;2019;01.01.-28.02.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Lycosidae;0;0;0;8;1;9;0;9;9;Jan-Feb;2019;01.01.-28.02.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
Agroecabrunnea;Liocranidae;2;0;2;0;0;0;0;0;2;Jan-Feb;2019;01.01.-28.02.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
NA;Gnaphosidae;0;0;0;0;1;1;0;1;1;Jan-Feb;2019;01.01.-28.02.2019;Sel08;S1;2603450;1197118;46.92515;7.48393;509;16;3,5;2,9;3,1;3,3;3,6;3,3;2,2;2,9;2
